video,url,frame,color,framerate,descr_timeunit,width,height,aspect_ratio,activity,luminance_range,blurriness,noise
video_0,https://h5.mediathek.at/cdn.php?t=media&i=16745FEC-0E4-00262-00000A70-16737E69&ft=mp4,12000,black_white,25.0,0.04,720,540,1.333333,16,0.655216,0.546606,0.0949319
video_0,https://h5.mediathek.at/cdn.php?t=media&i=16745FEC-0E4-00262-00000A70-16737E69&ft=mp4,15000,black_white,25.0,0.04,720,540,1.333333,17,0.672523,0.539398,0.058318
video_0,https://h5.mediathek.at/cdn.php?t=media&i=16745FEC-0E4-00262-00000A70-16737E69&ft=mp4,2250,black_white,25.0,0.04,720,540,1.333333,60,0.964967,0.101973,0.112902
video_1,https://h5.mediathek.at/cdn.php?t=media&i=16747531-1E8-002D3-00000A70-16737E69&ft=mp4,14000,black_white,25.0,0.04,720,540,1.333333,156,0.605542,0.340434,0.17391
video_1,https://h5.mediathek.at/cdn.php?t=media&i=16747531-1E8-002D3-00000A70-16737E69&ft=mp4,16750,black_white,25.0,0.04,720,540,1.333333,43,0.681046,0.283597,0.115042
video_1,https://h5.mediathek.at/cdn.php?t=media&i=16747531-1E8-002D3-00000A70-16737E69&ft=mp4,5000,black_white,25.0,0.04,720,540,1.333333,49,0.653542,0.409903,0.0652597
video_10,https://h5.mediathek.at/cdn.php?t=media&i=018AA2F3-2CF-01C12-00000484-0189A3E5&ft=mp4,11250,black_white,25.0,0.04,720,540,1.333333,64,0.513882,0.598983,0.147559
video_10,https://h5.mediathek.at/cdn.php?t=media&i=018AA2F3-2CF-01C12-00000484-0189A3E5&ft=mp4,1500,black_white,25.0,0.04,720,540,1.333333,54,0.669647,0.549139,0.223365
video_10,https://h5.mediathek.at/cdn.php?t=media&i=018AA2F3-2CF-01C12-00000484-0189A3E5&ft=mp4,3250,black_white,25.0,0.04,720,540,1.333333,20,0.595817,0.526247,0.105418
video_10,https://h5.mediathek.at/cdn.php?t=media&i=018AA2F3-2CF-01C12-00000484-0189A3E5&ft=mp4,5750,black_white,25.0,0.04,720,540,1.333333,79,0.622745,0.579667,0.135089
video_10,https://h5.mediathek.at/cdn.php?t=media&i=018AA2F3-2CF-01C12-00000484-0189A3E5&ft=mp4,6750,black_white,25.0,0.04,720,540,1.333333,36,0.737516,0.548597,0.118263
video_11,https://h5.mediathek.at/cdn.php?t=media&i=018AAEC8-3BA-02C53-00000484-0189A3E5&ft=mp4,16750,color,25.0,0.04,720,540,1.333333,63,0.950902,0.0414655,0.0800326
video_11,https://h5.mediathek.at/cdn.php?t=media&i=018AAEC8-3BA-02C53-00000484-0189A3E5&ft=mp4,18000,color,25.0,0.04,720,540,1.333333,40,0.962562,0.000939667,0.0751611
video_11,https://h5.mediathek.at/cdn.php?t=media&i=018AAEC8-3BA-02C53-00000484-0189A3E5&ft=mp4,21500,color,25.0,0.04,720,540,1.333333,110,1.0,0.0508509,0.127507
video_11,https://h5.mediathek.at/cdn.php?t=media&i=018AAEC8-3BA-02C53-00000484-0189A3E5&ft=mp4,6500,color,25.0,0.04,720,540,1.333333,99,1.0,0.178296,0.135104
video_11,https://h5.mediathek.at/cdn.php?t=media&i=018AAEC8-3BA-02C53-00000484-0189A3E5&ft=mp4,9000,color,25.0,0.04,720,540,1.333333,85,0.811137,0.146863,0.102034
video_14,https://h5.mediathek.at/cdn.php?t=media&i=16743A36-338-00175-00000A70-16737E69&ft=mp4,24750,color,25.0,0.04,720,540,1.333333,39,0.770092,0.429966,0.107432
video_14,https://h5.mediathek.at/cdn.php?t=media&i=16743A36-338-00175-00000A70-16737E69&ft=mp4,54500,color,25.0,0.04,720,540,1.333333,49,0.77966,0.510785,0.0271359
video_15,https://h5.mediathek.at/cdn.php?t=media&i=16745F50-072-0025C-00000A70-16737E69&ft=mp4,10500,color,25.0,0.04,720,540,1.333333,15,0.953464,0.541161,0.215266
video_15,https://h5.mediathek.at/cdn.php?t=media&i=16745F50-072-0025C-00000A70-16737E69&ft=mp4,25000,color,25.0,0.04,720,540,1.333333,70,0.953569,0.32652,0.120899
video_15,https://h5.mediathek.at/cdn.php?t=media&i=16745F50-072-0025C-00000A70-16737E69&ft=mp4,4250,color,25.0,0.04,720,540,1.333333,19,0.925333,0.502939,0.0415058
video_15,https://h5.mediathek.at/cdn.php?t=media&i=16745F50-072-0025C-00000A70-16737E69&ft=mp4,5500,color,25.0,0.04,720,540,1.333333,37,0.865203,0.549624,0.065745
video_15,https://h5.mediathek.at/cdn.php?t=media&i=16745F50-072-0025C-00000A70-16737E69&ft=mp4,7250,color,25.0,0.04,720,540,1.333333,29,0.932497,0.534334,0.0113713
video_16,https://h5.mediathek.at/cdn.php?t=media&i=17559BFA-2BF-001B1-00001314-1754EEB9&ft=mp4,4000,color,25.0,0.04,720,540,1.333333,18,0.572288,0.439806,0.0730927
video_16,https://h5.mediathek.at/cdn.php?t=media&i=17559BFA-2BF-001B1-00001314-1754EEB9&ft=mp4,4250,color,25.0,0.04,720,540,1.333333,58,0.640261,0.351711,0.13626
video_17,https://h5.mediathek.at/cdn.php?t=media&i=175DC22E-230-0016B-00000A4C-175CD7B6&ft=mp4,1500,color,25.0,0.04,720,540,1.333333,20,0.656366,0.462494,0.116873
video_17,https://h5.mediathek.at/cdn.php?t=media&i=175DC22E-230-0016B-00000A4C-175CD7B6&ft=mp4,5500,color,25.0,0.04,720,540,1.333333,65,0.76,0.317034,0.175422
video_18,https://h5.mediathek.at/cdn.php?t=media&i=175DC3E7-2B8-00176-00000A4C-175CD7B6&ft=mp4,6750,color,25.0,0.04,720,540,1.333333,25,0.625569,0.371506,0.0978453
video_19,https://h5.mediathek.at/cdn.php?t=media&i=175DC4B5-22F-0017C-00000A4C-175CD7B6&ft=mp4,2250,color,25.0,0.04,720,540,1.333333,99,0.896052,0.517017,0.217225
video_19,https://h5.mediathek.at/cdn.php?t=media&i=175DC4B5-22F-0017C-00000A4C-175CD7B6&ft=mp4,2500,color,25.0,0.04,720,540,1.333333,66,0.814797,0.546125,0.247294
video_19,https://h5.mediathek.at/cdn.php?t=media&i=175DC4B5-22F-0017C-00000A4C-175CD7B6&ft=mp4,2750,color,25.0,0.04,720,540,1.333333,36,0.980444,0.422375,0.0229195
video_19,https://h5.mediathek.at/cdn.php?t=media&i=175DC4B5-22F-0017C-00000A4C-175CD7B6&ft=mp4,3500,color,25.0,0.04,720,540,1.333333,27,0.857307,0.465966,0.0997061
video_19,https://h5.mediathek.at/cdn.php?t=media&i=175DC4B5-22F-0017C-00000A4C-175CD7B6&ft=mp4,3750,color,25.0,0.04,720,540,1.333333,43,0.398013,0.538206,0.0738299
video_19,https://h5.mediathek.at/cdn.php?t=media&i=175DC4B5-22F-0017C-00000A4C-175CD7B6&ft=mp4,4500,color,25.0,0.04,720,540,1.333333,15,0.901438,0.377559,0.0821605
video_2,https://h5.mediathek.at/cdn.php?t=media&i=1674757D-0E2-002D7-00000A70-16737E69&ft=mp4,1000,black_white,25.0,0.04,720,540,1.333333,59,0.679739,0.2524,0.0817649
video_20,https://h5.mediathek.at/cdn.php?t=media&i=018AA6FC-020-021B0-00000484-0189A3E5&ft=mp4,17500,color,25.0,0.04,720,540,1.333333,46,0.865359,0.539525,0.0649344
video_20,https://h5.mediathek.at/cdn.php?t=media&i=018AA6FC-020-021B0-00000484-0189A3E5&ft=mp4,18000,color,25.0,0.04,720,540,1.333333,46,0.742484,0.542296,0.0427319
video_20,https://h5.mediathek.at/cdn.php?t=media&i=018AA6FC-020-021B0-00000484-0189A3E5&ft=mp4,3000,color,25.0,0.04,720,540,1.333333,30,0.842353,0.606998,0.0441056
video_20,https://h5.mediathek.at/cdn.php?t=media&i=018AA6FC-020-021B0-00000484-0189A3E5&ft=mp4,8000,color,25.0,0.04,720,540,1.333333,65,0.866719,0.516447,0.22578
